# x	y	u	v	s2n	mask
  1.2400	  0.9694	 -0.0560	  0.0008	  2.3355	  0.0000
  2.3221	  0.9694	  0.0101	 -0.0117	  2.1511	  0.0000
  3.4043	  0.9694	 -0.0022	 -0.0105	  2.1009	  0.0000
  4.4865	  0.9694	 -0.0188	  0.0172	  2.0766	  0.0000
  5.5686	  0.9694	 -0.0176	 -0.0203	  2.0737	  0.0000
  6.6508	  0.9694	 -0.0198	 -0.0460	  2.2840	  0.0000
  7.7330	  0.9694	  0.0040	 -0.0147	  1.9533	  0.0000
  8.8151	  0.9694	  0.0508	 -0.0326	  1.8586	  0.0000
  9.8973	  0.9694	  0.0067	 -0.0738	  1.7927	  0.0000
 10.9795	  0.9694	  0.0193	 -0.0653	  2.0956	  0.0000
 12.0616	  0.9694	  0.0323	 -0.0707	  1.9149	  0.0000
 13.1438	  0.9694	  0.0189	 -0.0590	  1.7531	  0.0000
 14.2260	  0.9694	  0.0823	 -0.1011	  1.9506	  0.0000
 15.3081	  0.9694	  0.0302	 -0.0468	  1.9610	  0.0000
 16.3903	  0.9694	 -0.0004	 -0.0178	  1.9040	  0.0000
 17.4724	  0.9694	  0.0313	 -0.0538	  1.8238	  0.0000
 18.5546	  0.9694	 -0.0049	 -0.0494	  1.7836	  0.0000
 19.6368	  0.9694	  0.0146	 -0.0226	  0.0000	  1.0000
 20.7189	  0.9694	  0.0380	 -0.0487	  1.8837	  0.0000
 21.8011	  0.9694	  0.0474	  0.0058	  1.6307	  0.0000
 22.8833	  0.9694	  0.0423	  0.0043	  1.7414	  0.0000
 23.9654	  0.9694	  0.0411	 -0.0110	  1.5997	  0.0000
 25.0476	  0.9694	  0.0078	  0.0401	  1.4673	  0.0000
 26.1298	  0.9694	  0.0209	  0.0074	  1.4763	  0.0000
 27.2119	  0.9694	 -0.0013	  0.0210	  1.3359	  0.0000
 28.2941	  0.9694	  0.5727	  0.0770	  0.0000	  1.0000
 29.3763	  0.9694	 -0.0526	 -0.0587	  1.0574	  0.0000
 30.4584	  0.9694	  0.5892	  0.0695	  1.0426	  1.0000
 31.5406	  0.9694	 -0.0191	 -0.0490	  1.4547	  0.0000
 32.6227	  0.9694	  0.0275	 -0.0860	  1.3935	  0.0000
 33.7049	  0.9694	  0.0602	 -0.0727	  1.6350	  0.0000
 34.7871	  0.9694	  0.0275	 -0.0663	  1.5950	  0.0000
 35.8692	  0.9694	  0.0304	 -0.0444	  0.0000	  1.0000
 36.9514	  0.9694	  0.0173	 -0.0456	  0.0000	  1.0000
 38.0336	  0.9694	  0.0058	 -0.0941	  1.3904	  0.0000
 39.1157	  0.9694	  0.0296	  0.0060	  1.3947	  0.0000
 40.1979	  0.9694	  0.0101	 -0.0216	  1.7105	  0.0000
 41.2801	  0.9694	  0.0787	 -0.0457	  1.7642	  0.0000
