# x	y	u	v	s2n	mask
  1.2400	  0.9694	  0.0369	 -0.0127	  2.2187	  0.0000
  2.3221	  0.9694	  0.0587	 -0.0368	  2.3800	  0.0000
  3.4043	  0.9694	  0.0674	  0.0097	  2.0342	  0.0000
  4.4865	  0.9694	  0.0183	  0.0586	  0.0000	  1.0000
  5.5686	  0.9694	  0.0211	 -0.0159	  2.1263	  0.0000
  6.6508	  0.9694	  0.0251	 -0.0141	  2.1972	  0.0000
  7.7330	  0.9694	  0.0230	 -0.0262	  2.1935	  0.0000
  8.8151	  0.9694	  0.0598	 -0.0395	  0.0000	  1.0000
  9.8973	  0.9694	  0.0794	 -0.0487	  2.1698	  0.0000
 10.9795	  0.9694	  0.0384	 -0.0674	  2.1650	  0.0000
 12.0616	  0.9694	  0.0139	 -0.0927	  2.0422	  0.0000
 13.1438	  0.9694	 -0.0099	 -0.0521	  1.8869	  0.0000
 14.2260	  0.9694	 -0.0282	 -0.0528	  1.7485	  0.0000
 15.3081	  0.9694	 -0.0036	 -0.0534	  1.9814	  0.0000
 16.3903	  0.9694	  0.0411	 -0.0555	  1.9687	  0.0000
 17.4724	  0.9694	  0.0038	 -0.0981	  1.8251	  0.0000
 18.5546	  0.9694	 -0.0182	 -0.0219	  1.7455	  0.0000
 19.6368	  0.9694	  0.0093	 -0.0307	  1.8875	  0.0000
 20.7189	  0.9694	 -0.0103	 -0.0532	  1.7507	  0.0000
 21.8011	  0.9694	  0.0378	 -0.0491	  1.6329	  0.0000
 22.8833	  0.9694	 -0.0175	 -0.0213	  1.6482	  0.0000
 23.9654	  0.9694	  0.0053	 -0.0124	  1.7750	  0.0000
 25.0476	  0.9694	  0.0297	 -0.0592	  1.7832	  0.0000
 26.1298	  0.9694	  0.0031	 -0.0406	  0.0000	  1.0000
 27.2119	  0.9694	  0.0327	 -0.0721	  1.7625	  0.0000
 28.2941	  0.9694	  0.0078	 -0.0330	  1.6245	  0.0000
 29.3763	  0.9694	 -0.0248	 -0.0738	  1.7025	  0.0000
 30.4584	  0.9694	  0.0100	 -0.0496	  1.6444	  0.0000
 31.5406	  0.9694	  0.0013	 -0.0621	  1.7355	  0.0000
 32.6227	  0.9694	 -0.0003	 -0.0450	  1.6950	  0.0000
 33.7049	  0.9694	  0.0034	 -0.0425	  1.7600	  0.0000
 34.7871	  0.9694	  0.0073	 -0.0193	  1.8028	  0.0000
 35.8692	  0.9694	  0.0386	 -0.0163	  1.7908	  0.0000
 36.9514	  0.9694	 -0.0142	 -0.0603	  1.6254	  0.0000
 38.0336	  0.9694	  0.0440	 -0.0642	  1.7464	  0.0000
 39.1157	  0.9694	  0.0295	 -0.0767	  1.8388	  0.0000
 40.1979	  0.9694	  0.0271	 -0.0586	  1.8822	  0.0000
 41.2801	  0.9694	  0.0011	 -0.0560	  1.9196	  0.0000
 42.3622	  0.9694	  0.0536	 -0.0407	  2.1512	  0.0000
 43.4444	  0.9694	 -0.0012	 -0.0477	  2.1240	  0.0000
  1.2400	  2.0516	  0.0277	  0.0531	  2.3273	  0.0000
  2.3221	  2.0516	  0.0503	  0.0261	  2.1738	  0.0000
  3.4043	  2.0516	  0.0542	  0.0260	  2.2384	  0.0000
  4.4865	  2.0516	  0.0853	  0.0408	  2.0717	  0.0000
  5.5686	  2.0516	  0.0472	  0.0200	  1.9734	  0.0000
  6.6508	  2.0516	  0.0410	 -0.0260	  2.0823	  0.0000
  7.7330	  2.0516	  0.0747	 -0.0214	  2.0555	  0.0000
  8.8151	  2.0516	  0.0973	 -0.0215	  2.0016	  0.0000
  9.8973	  2.0516	  0.0789	 -0.0227	  1.9981	  0.0000
 10.9795	  2.0516	  0.0499	 -0.0361	  1.9224	  0.0000
 12.0616	  2.0516	  0.0677	 -0.0949	  1.7901	  0.0000
 13.1438	  2.0516	  0.0517	 -0.0772	  1.8055	  0.0000
 14.2260	  2.0516	  0.0235	 -0.0652	  1.6905	  0.0000
 15.3081	  2.0516	  0.0144	 -0.0507	  2.0250	  0.0000
 16.3903	  2.0516	 -0.0152	 -0.0567	  1.8990	  0.0000
 17.4724	  2.0516	  0.0043	 -0.0518	  1.6939	  0.0000
 18.5546	  2.0516	  0.0369	 -0.0456	  1.6373	  0.0000
 19.6368	  2.0516	  0.0542	 -0.0010	  1.7069	  0.0000
 20.7189	  2.0516	  0.0154	 -0.0524	  1.7451	  0.0000
 21.8011	  2.0516	  0.0154	 -0.0953	  1.7318	  0.0000
 22.8833	  2.0516	 -0.0052	 -0.0179	  1.5939	  0.0000
 23.9654	  2.0516	  0.0171	 -0.0502	  1.7889	  0.0000
 25.0476	  2.0516	  0.0290	 -0.0297	  1.8322	  0.0000
 26.1298	  2.0516	  0.0067	  0.0112	  1.8126	  0.0000
 27.2119	  2.0516	  0.0149	 -0.0624	  1.6919	  0.0000
 28.2941	  2.0516	  0.0149	 -0.0412	  1.6616	  0.0000
 29.3763	  2.0516	  0.0407	 -0.0121	  1.6927	  0.0000
 30.4584	  2.0516	  0.0472	 -0.0285	  1.8502	  0.0000
 31.5406	  2.0516	  0.0354	 -0.0511	  1.7111	  0.0000
 32.6227	  2.0516	  0.0130	 -0.0444	  0.0000	  1.0000
 33.7049	  2.0516	  0.0359	 -0.0327	  1.6100	  0.0000
 34.7871	  2.0516	  0.0082	 -0.0883	  1.6140	  0.0000
 35.8692	  2.0516	  0.0173	 -0.0605	  1.7503	  0.0000
 36.9514	  2.0516	  0.0089	 -0.0362	  1.7848	  0.0000
 38.0336	  2.0516	  0.0182	 -0.0493	  0.0000	  1.0000
 39.1157	  2.0516	  0.0305	 -0.0869	  1.7834	  0.0000
 40.1979	  2.0516	  0.0087	 -0.0449	  1.8499	  0.0000
 41.2801	  2.0516	  0.0148	 -0.0474	  1.8953	  0.0000
 42.3622	  2.0516	  0.0192	 -0.0235	  2.1097	  0.0000
 43.4444	  2.0516	 -0.0008	 -0.0280	  2.1888	  0.0000
  1.2400	  3.1338	  0.0139	  0.0283	  2.4658	  0.0000
  2.3221	  3.1338	  0.0268	  0.0701	  2.0880	  0.0000
  3.4043	  3.1338	 -0.0255	  0.0928	  2.0106	  0.0000
  4.4865	  3.1338	  0.0691	  0.1392	  1.8880	  0.0000
  5.5686	  3.1338	  0.1340	  0.0069	  1.8491	  0.0000
  6.6508	  3.1338	  0.0846	 -0.0293	  2.0157	  0.0000
  7.7330	  3.1338	 -0.0491	  0.0161	  0.0000	  1.0000
  8.8151	  3.1338	  0.0948	 -0.0256	  1.7966	  0.0000
  9.8973	  3.1338	  0.0686	 -0.0562	  1.8489	  0.0000
 10.9795	  3.1338	  0.0782	 -0.0649	  1.6618	  0.0000
 12.0616	  3.1338	  0.0656	 -0.0675	  1.8463	  0.0000
 13.1438	  3.1338	  0.0365	 -0.1394	  1.7582	  0.0000
 14.2260	  3.1338	  0.0386	 -0.1219	  1.7467	  0.0000
 15.3081	  3.1338	 -0.0260	 -0.0707	  1.5246	  0.0000
 16.3903	  3.1338	  0.0318	 -0.0659	  1.8437	  0.0000
 17.4724	  3.1338	 -0.0317	 -0.0971	  1.6279	  0.0000
 18.5546	  3.1338	  0.0369	 -0.0783	  1.7366	  0.0000
 19.6368	  3.1338	  0.0423	 -0.0645	  1.8210	  0.0000
 20.7189	  3.1338	 -0.0141	 -0.0313	  1.6501	  0.0000
 21.8011	  3.1338	  0.0213	 -0.0462	  1.6342	  0.0000
