# x	y	u	v	s2n	mask
  0.8793	  0.9694	  0.0069	 -0.0256	  0.0000	  0.0000
  1.2400	  0.9694	  0.0080	 -0.0229	  0.0000	  0.0000
  1.6007	  0.9694	  0.0115	 -0.0192	  0.0000	  0.0000
  1.9614	  0.9694	  0.0093	 -0.0164	  0.0000	  0.0000
  2.3221	  0.9694	  0.0127	 -0.0134	  0.0000	  0.0000
  2.6829	  0.9694	  0.0033	 -0.0132	  0.0000	  0.0000
  3.0436	  0.9694	  0.0015	 -0.0106	  0.0000	  0.0000
  3.4043	  0.9694	  0.0013	 -0.0091	  0.0000	  0.0000
  3.7650	  0.9694	  0.0020	 -0.0126	  0.0000	  0.0000
  4.1258	  0.9694	  0.0050	 -0.0137	  0.0000	  0.0000
  4.4865	  0.9694	 -0.0002	 -0.0163	  0.0000	  0.0000
  4.8472	  0.9694	  0.0062	 -0.0189	  0.0000	  0.0000
  5.2079	  0.9694	  0.0059	 -0.0186	  0.0000	  0.0000
  5.5686	  0.9694	  0.0091	 -0.0176	  0.0000	  0.0000
  5.9294	  0.9694	  0.0137	 -0.0174	  0.0000	  0.0000
  6.2901	  0.9694	  0.0098	 -0.0172	  0.0000	  0.0000
  6.6508	  0.9694	  0.0116	 -0.0188	  0.0000	  0.0000
  7.0115	  0.9694	  0.0124	 -0.0217	  0.0000	  0.0000
  7.3722	  0.9694	  0.0153	 -0.0217	  0.0000	  0.0000
  7.7330	  0.9694	  0.0159	 -0.0272	  0.0000	  0.0000
  8.0937	  0.9694	  0.0144	 -0.0303	  0.0000	  0.0000
  8.4544	  0.9694	  0.0161	 -0.0328	  0.0000	  0.0000
  8.8151	  0.9694	  0.0177	 -0.0365	  0.0000	  0.0000
  9.1759	  0.9694	  0.0214	 -0.0351	  0.0000	  0.0000
  9.5366	  0.9694	  0.0174	 -0.0354	  0.0000	  0.0000
  9.8973	  0.9694	  0.0180	 -0.0373	  0.0000	  0.0000
 10.2580	  0.9694	  0.0214	 -0.0362	  0.0000	  0.0000
 10.6187	  0.9694	  0.0236	 -0.0342	  0.0000	  0.0000
 10.9795	  0.9694	  0.0241	 -0.0335	  0.0000	  0.0000
 11.3402	  0.9694	  0.0244	 -0.0319	  0.0000	  0.0000
 11.7009	  0.9694	  0.0185	 -0.0320	  0.0000	  0.0000
 12.0616	  0.9694	  0.0203	 -0.0326	  0.0000	  0.0000
 12.4223	  0.9694	  0.0200	 -0.0317	  0.0000	  0.0000
 12.7831	  0.9694	  0.0223	 -0.0338	  0.0000	  0.0000
 13.1438	  0.9694	  0.0238	 -0.0316	  0.0000	  0.0000
 13.5045	  0.9694	  0.0171	 -0.0313	  0.0000	  0.0000
 13.8652	  0.9694	  0.0204	 -0.0298	  0.0000	  0.0000
 14.2260	  0.9694	  0.0184	 -0.0305	  0.0000	  0.0000
 14.5867	  0.9694	  0.0155	 -0.0267	  0.0000	  0.0000
 14.9474	  0.9694	  0.0185	 -0.0269	  0.0000	  0.0000
 15.3081	  0.9694	  0.0175	 -0.0295	  0.0000	  0.0000
 15.6688	  0.9694	  0.0171	 -0.0281	  0.0000	  0.0000
 16.0296	  0.9694	  0.0187	 -0.0274	  0.0000	  0.0000
 16.3903	  0.9694	  0.0170	 -0.0292	  0.0000	  0.0000
 16.7510	  0.9694	  0.0167	 -0.0309	  0.0000	  0.0000
 17.1117	  0.9694	  0.0176	 -0.0316	  0.0000	  0.0000
 17.4724	  0.9694	  0.0170	 -0.0316	  0.0000	  0.0000
 17.8332	  0.9694	  0.0176	 -0.0303	  0.0000	  0.0000
 18.1939	  0.9694	  0.0171	 -0.0297	  0.0000	  0.0000
 18.5546	  0.9694	  0.0155	 -0.0292	  0.0000	  0.0000
 18.9153	  0.9694	  0.0179	 -0.0314	  0.0000	  0.0000
 19.2761	  0.9694	  0.0175	 -0.0305	  0.0000	  0.0000
 19.6368	  0.9694	  0.0193	 -0.0306	  0.0000	  0.0000
 19.9975	  0.9694	  0.0181	 -0.0309	  0.0000	  0.0000
 20.3582	  0.9694	  0.0153	 -0.0312	  0.0000	  0.0000
 20.7189	  0.9694	  0.0163	 -0.0333	  0.0000	  0.0000
 21.0797	  0.9694	  0.0151	 -0.0339	  0.0000	  0.0000
 21.4404	  0.9694	  0.0184	 -0.0353	  0.0000	  0.0000
 21.8011	  0.9694	  0.0165	 -0.0383	  0.0000	  0.0000
 22.1618	  0.9694	  0.0174	 -0.0379	  0.0000	  0.0000
 22.5225	  0.9694	  0.0199	 -0.0375	  0.0000	  0.0000
 22.8833	  0.9694	  0.0182	 -0.0381	  0.0000	  0.0000
 23.2440	  0.9694	  0.0211	 -0.0355	  0.0000	  0.0000
 23.6047	  0.9694	  0.0192	 -0.0382	  0.0000	  0.0000
 23.9654	  0.9694	  0.0200	 -0.0393	  0.0000	  0.0000
 24.3262	  0.9694	  0.0215	 -0.0418	  0.0000	  0.0000
 24.6869	  0.9694	  0.0201	 -0.0447	  0.0000	  0.0000
 25.0476	  0.9694	  0.0241	 -0.0400	  0.0000	  0.0000
 25.4083	  0.9694	  0.0225	 -0.0407	  0.0000	  0.0000
 25.7690	  0.9694	  0.0214	 -0.0407	  0.0000	  0.0000
 26.1298	  0.9694	  0.0245	 -0.0406	  0.0000	  0.0000
 26.4905	  0.9694	  0.0251	 -0.0437	  0.0000	  0.0000
 26.8512	  0.9694	  0.0255	 -0.0429	  0.0000	  0.0000
 27.2119	  0.9694	  0.0260	 -0.0423	  0.0000	  0.0000
 27.5726	  0.9694	  0.0264	 -0.0422	  0.0000	  0.0000
 27.9334	  0.9694	  0.0284	 -0.0442	  0.0000	  0.0000
 28.2941	  0.9694	  0.0272	 -0.0469	  0.0000	  0.0000
 28.6548	  0.9694	  0.0272	 -0.0495	  0.0000	  0.0000
 29.0155	  0.9694	  0.0204	 -0.0496	  0.0000	  0.0000
 29.3763	  0.9694	  0.0221	 -0.0482	  0.0000	  0.0000
 29.7370	  0.9694	  0.0246	 -0.0481	  0.0000	  0.0000
 30.0977	  0.9694	  0.0282	 -0.0492	  0.0000	  0.0000
 30.4584	  0.9694	  0.0333	 -0.0503	  0.0000	  0.0000
 30.8191	  0.9694	  0.0307	 -0.0508	  0.0000	  0.0000
 31.1799	  0.9694	  0.0295	 -0.0494	  0.0000	  0.0000
 31.5406	  0.9694	  0.0220	 -0.0475	  0.0000	  0.0000
 31.9013	  0.9694	  0.0261	 -0.0452	  0.0000	  0.0000
 32.2620	  0.9694	  0.0302	 -0.0442	  0.0000	  0.0000
 32.6227	  0.9694	  0.0335	 -0.0463	  0.0000	  0.0000
 32.9835	  0.9694	  0.0349	 -0.0486	  0.0000	  0.0000
 33.3442	  0.9694	  0.0352	 -0.0529	  0.0000	  0.0000
 33.7049	  0.9694	  0.0283	 -0.0532	  0.0000	  0.0000
 34.0656	  0.9694	  0.0285	 -0.0519	  0.0000	  0.0000
 34.4264	  0.9694	  0.0308	 -0.0514	  0.0000	  0.0000
 34.7871	  0.9694	  0.0276	 -0.0494	  0.0000	  0.0000
 35.1478	  0.9694	  0.0353	 -0.0491	  0.0000	  0.0000
 35.5085	  0.9694	  0.0346	 -0.0499	  0.0000	  0.0000
 35.8692	  0.9694	  0.0347	 -0.0503	  0.0000	  0.0000
 36.2300	  0.9694	  0.0409	 -0.0513	  0.0000	  0.0000
 36.5907	  0.9694	  0.0360	 -0.0514	  0.0000	  0.0000
 36.9514	  0.9694	  0.0369	 -0.0500	  0.0000	  0.0000
 37.3121	  0.9694	  0.0361	 -0.0507	  0.0000	  0.0000
 37.6728	  0.9694	  0.0323	 -0.0487	  0.0000	  0.0000
 38.0336	  0.9694	  0.0370	 -0.0507	  0.0000	  0.0000
 38.3943	  0.9694	  0.0364	 -0.0527	  0.0000	  0.0000
 38.7550	  0.9694	  0.0393	 -0.0499	  0.0000	  0.0000
 39.1157	  0.9694	  0.0391	 -0.0511	  0.0000	  0.0000
 39.4765	  0.9694	  0.0394	 -0.0509	  0.0000	  0.0000
 39.8372	  0.9694	  0.0339	 -0.0496	  0.0000	  0.0000
 40.1979	  0.9694	  0.0354	 -0.0496	  0.0000	  0.0000
 40.5586	  0.9694	  0.0349	 -0.0488	  0.0000	  0.0000
 40.9193	  0.9694	  0.0331	 -0.0472	  0.0000	  0.0000
 41.2801	  0.9694	  0.0405	 -0.0451	  0.0000	  0.0000
 41.6408	  0.9694	  0.0343	 -0.0459	  0.0000	  0.0000
 42.0015	  0.9694	  0.0342	 -0.0430	  0.0000	  0.0000
 42.3622	  0.9694	  0.0352	 -0.0431	  0.0000	  0.0000
 42.7229	  0.9694	  0.0277	 -0.0454	  0.0000	  0.0000
 43.0837	  0.9694	  0.0309	 -0.0432	  0.0000	  0.0000
 43.4444	  0.9694	  0.0327	 -0.0432	  0.0000	  0.0000
 43.8051	  0.9694	  0.0357	 -0.0437	  0.0000	  0.0000
  0.8793	  1.3302	  0.0064	 -0.0264	  0.0000	  0.0000
  1.2400	  1.3302	  0.0058	 -0.0224	  0.0000	  0.0000
  1.6007	  1.3302	  0.0089	 -0.0202	  0.0000	  0.0000
  1.9614	  1.3302	  0.0065	 -0.0175	  0.0000	  0.0000
  2.3221	  1.3302	  0.0082	 -0.0165	  0.0000	  0.0000
  2.6829	  1.3302	  0.0022	 -0.0161	  0.0000	  0.0000
  3.0436	  1.3302	 -0.0020	 -0.0122	  0.0000	  0.0000
  3.4043	  1.3302	 -0.0039	 -0.0085	  0.0000	  0.0000
  3.7650	  1.3302	 -0.0030	 -0.0103	  0.0000	  0.0000
  4.1258	  1.3302	 -0.0004	 -0.0116	  0.0000	  0.0000
  4.4865	  1.3302	 -0.0029	 -0.0117	  0.0000	  0.0000
  4.8472	  1.3302	  0.0059	 -0.0143	  0.0000	  0.0000
  5.2079	  1.3302	  0.0045	 -0.0155	  0.0000	  0.0000
  5.5686	  1.3302	  0.0084	 -0.0151	  0.0000	  0.0000
  5.9294	  1.3302	  0.0113	 -0.0169	  0.0000	  0.0000
  6.2901	  1.3302	  0.0090	 -0.0193	  0.0000	  0.0000
  6.6508	  1.3302	  0.0103	 -0.0198	  0.0000	  0.0000
  7.0115	  1.3302	  0.0107	 -0.0209	  0.0000	  0.0000
  7.3722	  1.3302	  0.0124	 -0.0245	  0.0000	  0.0000
  7.7330	  1.3302	  0.0105	 -0.0257	  0.0000	  0.0000
  8.0937	  1.3302	  0.0141	 -0.0301	  0.0000	  0.0000
  8.4544	  1.3302	  0.0167	 -0.0315	  0.0000	  0.0000
  8.8151	  1.3302	  0.0176	 -0.0346	  0.0000	  0.0000
  9.1759	  1.3302	  0.0214	 -0.0384	  0.0000	  0.0000
  9.5366	  1.3302	  0.0162	 -0.0377	  0.0000	  0.0000
  9.8973	  1.3302	  0.0162	 -0.0381	  0.0000	  0.0000
 10.2580	  1.3302	  0.0205	 -0.0393	  0.0000	  0.0000
 10.6187	  1.3302	  0.0230	 -0.0383	  0.0000	  0.0000
 10.9795	  1.3302	  0.0240	 -0.0374	  0.0000	  0.0000
 11.3402	  1.3302	  0.0230	 -0.0331	  0.0000	  0.0000
 11.7009	  1.3302	  0.0204	 -0.0332	  0.0000	  0.0000
 12.0616	  1.3302	  0.0218	 -0.0333	  0.0000	  0.0000
 12.4223	  1.3302	  0.0211	 -0.0334	  0.0000	  0.0000
 12.7831	  1.3302	  0.0236	 -0.0359	  0.0000	  0.0000
 13.1438	  1.3302	  0.0236	 -0.0343	  0.0000	  0.0000
 13.5045	  1.3302	  0.0172	 -0.0330	  0.0000	  0.0000
 13.8652	  1.3302	  0.0193	 -0.0340	  0.0000	  0.0000
 14.2260	  1.3302	  0.0167	 -0.0319	  0.0000	  0.0000
 14.5867	  1.3302	  0.0163	 -0.0297	  0.0000	  0.0000
 14.9474	  1.3302	  0.0180	 -0.0289	  0.0000	  0.0000
 15.3081	  1.3302	  0.0180	 -0.0285	  0.0000	  0.0000
 15.6688	  1.3302	  0.0179	 -0.0288	  0.0000	  0.0000
 16.0296	  1.3302	  0.0169	 -0.0290	  0.0000	  0.0000
 16.3903	  1.3302	  0.0164	 -0.0289	  0.0000	  0.0000
 16.7510	  1.3302	  0.0153	 -0.0306	  0.0000	  0.0000
 17.1117	  1.3302	  0.0158	 -0.0327	  0.0000	  0.0000
 17.4724	  1.3302	  0.0157	 -0.0305	  0.0000	  0.0000
 17.8332	  1.3302	  0.0165	 -0.0318	  0.0000	  0.0000
 18.1939	  1.3302	  0.0177	 -0.0306	  0.0000	  0.0000
 18.5546	  1.3302	  0.0161	 -0.0289	  0.0000	  0.0000
 18.9153	  1.3302	  0.0199	 -0.0321	  0.0000	  0.0000
 19.2761	  1.3302	  0.0175	 -0.0310	  0.0000	  0.0000
 19.6368	  1.3302	  0.0201	 -0.0325	  0.0000	  0.0000
 19.9975	  1.3302	  0.0179	 -0.0327	  0.0000	  0.0000
 20.3582	  1.3302	  0.0158	 -0.0318	  0.0000	  0.0000
 20.7189	  1.3302	  0.0156	 -0.0326	  0.0000	  0.0000
 21.0797	  1.3302	  0.0163	 -0.0327	  0.0000	  0.0000
 21.4404	  1.3302	  0.0192	 -0.0355	  0.0000	  0.0000
 21.8011	  1.3302	  0.0179	 -0.0364	  0.0000	  0.0000
 22.1618	  1.3302	  0.0190	 -0.0363	  0.0000	  0.0000
 22.5225	  1.3302	  0.0198	 -0.0375	  0.0000	  0.0000
 22.8833	  1.3302	  0.0193	 -0.0365	  0.0000	  0.0000
 23.2440	  1.3302	  0.0205	 -0.0346	  0.0000	  0.0000
 23.6047	  1.3302	  0.0186	 -0.0366	  0.0000	  0.0000
 23.9654	  1.3302	  0.0193	 -0.0383	  0.0000	  0.0000
 24.3262	  1.3302	  0.0195	 -0.0410	  0.0000	  0.0000
 24.6869	  1.3302	  0.0197	 -0.0426	  0.0000	  0.0000
 25.0476	  1.3302	  0.0237	 -0.0416	  0.0000	  0.0000
 25.4083	  1.3302	  0.0218	 -0.0406	  0.0000	  0.0000
 25.7690	  1.3302	  0.0233	 -0.0401	  0.0000	  0.0000
 26.1298	  1.3302	  0.0241	 -0.0427	  0.0000	  0.0000
 26.4905	  1.3302	  0.0228	 -0.0441	  0.0000	  0.0000
 26.8512	  1.3302	  0.0245	 -0.0424	  0.0000	  0.0000
 27.2119	  1.3302	  0.0237	 -0.0421	  0.0000	  0.0000
 27.5726	  1.3302	  0.0253	 -0.0415	  0.0000	  0.0000
 27.9334	  1.3302	  0.0274	 -0.0434	  0.0000	  0.0000
 28.2941	  1.3302	  0.0285	 -0.0455	  0.0000	  0.0000
 28.6548	  1.3302	  0.0281	 -0.0485	  0.0000	  0.0000
 29.0155	  1.3302	  0.0214	 -0.0490	  0.0000	  0.0000
 29.3763	  1.3302	  0.0224	 -0.0490	  0.0000	  0.0000
 29.7370	  1.3302	  0.0243	 -0.0515	  0.0000	  0.0000
 30.0977	  1.3302	  0.0294	 -0.0509	  0.0000	  0.0000
