# x	y	u	v	s2n	mask
  0.8793	  0.9694	  0.0579	  0.0797	  0.0000	  0.0000
  1.2400	  0.9694	  0.0589	  0.0829	  0.0000	  0.0000
  1.6007	  0.9694	  0.0603	  0.0880	  0.0000	  0.0000
  1.9614	  0.9694	  0.0697	  0.0908	  0.0000	  0.0000
  2.3221	  0.9694	  0.0678	  0.0921	  0.0000	  0.0000
  2.6829	  0.9694	  0.0736	  0.0985	  0.0000	  0.0000
  3.0436	  0.9694	  0.0850	  0.1030	  0.0000	  0.0000
  3.4043	  0.9694	  0.0775	  0.1150	  0.0000	  0.0000
  3.7650	  0.9694	  0.0832	  0.1165	  0.0000	  0.0000
  4.1258	  0.9694	  0.0779	  0.1145	  0.0000	  0.0000
  4.4865	  0.9694	  0.0723	  0.1124	  0.0000	  0.0000
  4.8472	  0.9694	  0.0715	  0.1094	  0.0000	  0.0000
  5.2079	  0.9694	  0.0646	  0.1071	  0.0000	  0.0000
  5.5686	  0.9694	  0.0517	  0.1053	  0.0000	  0.0000
  5.9294	  0.9694	  0.0468	  0.1022	  0.0000	  0.0000
  6.2901	  0.9694	  0.0410	  0.0967	  0.0000	  0.0000
  6.6508	  0.9694	  0.0423	  0.0840	  0.0000	  0.0000
  7.0115	  0.9694	  0.0424	  0.0747	  0.0000	  0.0000
  7.3722	  0.9694	  0.0433	  0.0650	  0.0000	  0.0000
  7.7330	  0.9694	  0.0464	  0.0526	  0.0000	  0.0000
  8.0937	  0.9694	  0.0477	  0.0460	  0.0000	  0.0000
  8.4544	  0.9694	  0.0498	  0.0423	  0.0000	  0.0000
  8.8151	  0.9694	  0.0451	  0.0416	  0.0000	  0.0000
  9.1759	  0.9694	  0.0450	  0.0445	  0.0000	  0.0000
  9.5366	  0.9694	  0.0393	  0.0483	  0.0000	  0.0000
  9.8973	  0.9694	  0.0362	  0.0507	  0.0000	  0.0000
 10.2580	  0.9694	  0.0362	  0.0463	  0.0000	  0.0000
 10.6187	  0.9694	  0.0353	  0.0441	  0.0000	  0.0000
 10.9795	  0.9694	  0.0392	  0.0419	  0.0000	  0.0000
 11.3402	  0.9694	  0.0365	  0.0417	  0.0000	  0.0000
 11.7009	  0.9694	  0.0340	  0.0385	  0.0000	  0.0000
 12.0616	  0.9694	  0.0359	  0.0370	  0.0000	  0.0000
 12.4223	  0.9694	  0.0332	  0.0359	  0.0000	  0.0000
