# x	y	u	v	s2n	mask
  0.7214	 44.0080	 -0.3824	  0.2041	 -0.0000	  1.0000
  1.4429	 44.0080	 -0.3523	  0.2618	 -0.0000	  0.0000
  2.1643	 44.0080	 -0.3619	  0.2852	 -0.0000	  0.0000
  2.8858	 44.0080	 -0.3199	  0.3033	 -0.0000	  0.0000
  3.6072	 44.0080	 -0.2966	  0.3167	 -0.0000	  0.0000
  4.3287	 44.0080	 -0.2951	  0.3048	 -0.0000	  0.0000
  5.0501	 44.0080	 -0.3041	  0.3071	 -0.0000	  0.0000
  5.7715	 44.0080	 -0.3049	  0.2833	 -0.0000	  0.0000
  6.4930	 44.0080	 -0.2625	  0.2888	 -0.0000	  0.0000
  7.2144	 44.0080	 -0.2598	  0.3456	 -0.0000	  0.0000
  7.9359	 44.0080	 -0.3118	  0.3217	 -0.0000	  0.0000
  8.6573	 44.0080	 -0.3209	  0.3434	 -0.0000	  0.0000
  9.3788	 44.0080	 -0.2831	  0.3158	 -0.0000	  0.0000
 10.1002	 44.0080	 -0.2733	  0.2887	 -0.0000	  0.0000
 10.8216	 44.0080	 -0.3205	  0.3005	 -0.0000	  0.0000
 11.5431	 44.0080	 -0.3370	  0.2967	 -0.0000	  0.0000
 12.2645	 44.0080	 -0.3302	  0.2995	 -0.0000	  0.0000
 12.9860	 44.0080	 -0.3055	  0.1945	 -0.0000	  0.0000
 13.7074	 44.0080	 -0.3247	  0.1569	 -0.0000	  0.0000
 14.4289	 44.0080	 -0.3429	  0.2193	 -0.0000	  0.0000
 15.1503	 44.0080	 -0.3185	  0.2999	 -0.0000	  0.0000
 15.8717	 44.0080	 -0.3108	  0.3769	 -0.0000	  0.0000
 16.5932	 44.0080	 -0.3562	  0.3543	 -0.0000	  0.0000
 17.3146	 44.0080	 -0.3541	  0.2844	 -0.0000	  0.0000
 18.0361	 44.0080	 -0.3431	  0.3128	 -0.0000	  0.0000
 18.7575	 44.0080	 -0.3274	  0.3179	 -0.0000	  0.0000
 19.4790	 44.0080	 -0.3279	  0.2973	 -0.0000	  0.0000
 20.2004	 44.0080	 -0.3570	  0.3170	 -0.0000	  0.0000
 20.9218	 44.0080	 -0.3379	  0.3135	 -0.0000	  0.0000
 21.6433	 44.0080	 -0.3396	  0.3168	 -0.0000	  0.0000
 22.3647	 44.0080	 -0.3385	  0.3311	 -0.0000	  0.0000
 23.0862	 44.0080	 -0.3314	  0.3498	 -0.0000	  0.0000
 23.8076	 44.0080	 -0.3613	  0.3758	 -0.0000	  0.0000
 24.5291	 44.0080	 -0.2913	  0.3770	 -0.0000	  0.0000
 25.2505	 44.0080	 -0.2640	  0.3559	 -0.0000	  0.0000
 25.9719	 44.0080	 -0.3435	  0.3332	 -0.0000	  0.0000
 26.6934	 44.0080	 -0.3281	  0.2832	 -0.0000	  0.0000
 27.4148	 44.0080	 -0.3684	  0.3253	 -0.0000	  0.0000
 28.1363	 44.0080	 -0.3867	  0.3682	 -0.0000	  0.0000
 28.8577	 44.0080	 -0.2941	  0.2492	 -0.0000	  0.0000
 29.5792	 44.0080	 -0.2924	  0.1810	 -0.0000	  0.0000
 30.3006	 44.0080	 -0.3107	  0.1772	 -0.0000	  0.0000
 31.0220	 44.0080	 -0.3130	  0.2390	 -0.0000	  0.0000
 31.7435	 44.0080	 -0.2944	  0.2464	 -0.0000	  0.0000
 32.4649	 44.0080	 -0.3022	  0.2446	 -0.0000	  0.0000
 33.1864	 44.0080	 -0.3022	  0.3094	 -0.0000	  0.0000
 33.9078	 44.0080	 -0.3517	  0.3245	 -0.0000	  0.0000
 34.6293	 44.0080	 -0.3729	  0.2921	 -0.0000	  0.0000
 35.3507	 44.0080	 -0.3097	  0.2878	 -0.0000	  0.0000
 36.0721	 44.0080	 -0.2882	  0.3253	 -0.0000	  0.0000
 36.7936	 44.0080	 -0.3276	  0.3422	 -0.0000	  0.0000
 37.5150	 44.0080	 -0.3283	  0.3046	 -0.0000	  0.0000
 38.2365	 44.0080	 -0.3448	  0.3178	 -0.0000	  0.0000
 38.9579	 44.0080	 -0.3614	  0.3445	 -0.0000	  0.0000
 39.6794	 44.0080	 -0.2686	  0.2546	 -0.0000	  0.0000
 40.4008	 44.0080	 -0.2524	  0.2141	 -0.0000	  0.0000
 41.1222	 44.0080	 -0.3126	  0.2835	 -0.0000	  0.0000
 41.8437	 44.0080	 -0.2971	  0.2823	 -0.0000	  0.0000
 42.5651	 44.0080	 -0.2828	  0.3002	 -0.0000	  0.0000
 43.2866	 44.0080	 -0.2438	  0.3176	 -0.0000	  0.0000
 44.0080	 44.0080	 -0.2800	  0.3204	 -0.0000	  0.0000
  0.7214	 43.2866	 -0.3352	  0.2352	 -0.0000	  0.0000
  1.4429	 43.2866	 -0.3218	  0.2719	 -0.0000	  0.0000
  2.1643	 43.2866	 -0.3076	  0.3317	 -0.0000	  0.0000
  2.8858	 43.2866	 -0.2785	  0.2918	 -0.0000	  0.0000
  3.6072	 43.2866	 -0.3008	  0.2645	 -0.0000	  0.0000
  4.3287	 43.2866	 -0.3279	  0.2981	 -0.0000	  0.0000
  5.0501	 43.2866	 -0.3163	  0.3087	 -0.0000	  0.0000
  5.7715	 43.2866	 -0.3197	  0.2933	 -0.0000	  0.0000
  6.4930	 43.2866	 -0.2755	  0.2845	 -0.0000	  0.0000
  7.2144	 43.2866	 -0.2631	  0.3559	 -0.0000	  0.0000
  7.9359	 43.2866	 -0.2703	  0.3548	 -0.0000	  0.0000
  8.6573	 43.2866	 -0.3002	  0.3698	 -0.0000	  0.0000
  9.3788	 43.2866	 -0.3001	  0.3189	 -0.0000	  0.0000
 10.1002	 43.2866	 -0.2940	  0.2739	 -0.0000	  0.0000
 10.8216	 43.2866	 -0.2964	  0.3174	 -0.0000	  0.0000
 11.5431	 43.2866	 -0.3521	  0.2643	 -0.0000	  0.0000
 12.2645	 43.2866	 -0.3472	  0.2200	 -0.0000	  0.0000
 12.9860	 43.2866	 -0.4230	  0.2464	 -0.0000	  0.0000
 13.7074	 43.2866	 -0.3681	  0.2399	 -0.0000	  0.0000
 14.4289	 43.2866	 -0.3589	  0.2402	 -0.0000	  0.0000
 15.1503	 43.2866	 -0.3222	  0.3136	 -0.0000	  0.0000
 15.8717	 43.2866	 -0.3549	  0.3585	 -0.0000	  0.0000
 16.5932	 43.2866	 -0.3652	  0.2965	 -0.0000	  0.0000
 17.3146	 43.2866	 -0.3737	  0.2516	 -0.0000	  0.0000
 18.0361	 43.2866	 -0.3892	  0.3326	 -0.0000	  0.0000
 18.7575	 43.2866	 -0.3260	  0.3129	 -0.0000	  0.0000
 19.4790	 43.2866	 -0.2856	  0.2916	 -0.0000	  0.0000
 20.2004	 43.2866	 -0.2965	  0.3025	 -0.0000	  0.0000
 20.9218	 43.2866	 -0.2800	  0.3154	 -0.0000	  0.0000
 21.6433	 43.2866	 -0.3426	  0.3034	 -0.0000	  0.0000
 22.3647	 43.2866	 -0.3540	  0.3054	 -0.0000	  0.0000
 23.0862	 43.2866	 -0.2667	  0.3189	 -0.0000	  0.0000
 23.8076	 43.2866	 -0.3248	  0.3134	 -0.0000	  0.0000
 24.5291	 43.2866	 -0.3253	  0.2951	 -0.0000	  0.0000
 25.2505	 43.2866	 -0.3123	  0.3002	 -0.0000	  0.0000
 25.9719	 43.2866	 -0.3136	  0.3407	 -0.0000	  0.0000
 26.6934	 43.2866	 -0.3083	  0.2727	 -0.0000	  0.0000
 27.4148	 43.2866	 -0.3314	  0.2891	 -0.0000	  0.0000
 28.1363	 43.2866	 -0.3243	  0.3260	 -0.0000	  0.0000
 28.8577	 43.2866	 -0.2972	  0.2554	 -0.0000	  0.0000
 29.5792	 43.2866	 -0.3298	  0.2018	 -0.0000	  0.0000
 30.3006	 43.2866	 -0.3280	  0.1936	 -0.0000	  0.0000
 31.0220	 43.2866	 -0.2940	  0.2549	 -0.0000	  0.0000
 31.7435	 43.2866	 -0.2917	  0.2623	 -0.0000	  0.0000
 32.4649	 43.2866	 -0.2742	  0.2578	 -0.0000	  0.0000
 33.1864	 43.2866	 -0.2876	  0.3655	 -0.0000	  0.0000
